uf,codigo_municipio,municipio,taxa_aprovacao_2023,indicador_rendimento_2023,nota_matematica_2023,nota_portugues_2023,nota_media_2023,ideb_2023
MA,2108454,Peritoró,91.3,0.912217,229.0,233.41,4.3735,4.0
MA,2108504,Pindaré-Mirim,88.7,0.887087,220.58,228.79,4.156167,3.7
MA,2108603,Pinheiro,93.9,0.938867,232.36,244.07,4.607167,4.3
MA,2108702,Pio XII,89.4,0.893429,232.51,240.59,4.551667,4.1
MA,2108801,Pirapemas,90.8,0.902679,225.14,227.19,4.2055,3.8
MA,2108900,Poção de Pedras,99.9,0.998997,267.38,261.61,5.483167,5.5
MA,2109007,Porto Franco,99.0,0.989687,257.16,260.49,5.294167,5.2
MA,2109056,Porto Rico do Maranhão,93.1,0.929594,227.03,234.24,4.3545,4.0
MA,2109106,Presidente Dutra,89.8,0.898685,246.82,253.41,5.003833,4.5
MA,2109205,Presidente Juscelino,85.7,0.850979,245.0,250.48,4.924667,4.2
MA,2109239,Presidente Médici,95.3,0.951548,242.26,241.87,4.7355,4.5
MA,2109270,Presidente Sarney,99.4,0.993732,226.89,234.15,4.350667,4.3
MA,2109304,Presidente Vargas,91.1,0.909882,228.29,240.23,4.475333,4.1
MA,2109403,Primeira Cruz,91.4,0.914567,224.79,221.59,4.106333,3.8
MA,2109452,Raposa,94.9,0.949632,226.9,229.87,4.2795,4.1
MA,2109502,Riachão,97.0,0.970353,225.83,227.18,4.216833,4.1
MA,2109551,Ribamar Fiquene,87.7,0.872116,226.88,227.97,4.2475,3.7
MA,2109601,Rosário,92.4,0.923478,243.7,248.63,4.872167,4.5
MA,2109700,Sambaíba,97.1,0.971274,231.85,238.57,4.507,4.4
MA,2109759,Santa Filomena do Maranhão,83.5,0.83872,,,,
MA,2109809,Santa Helena,91.0,0.909716,234.58,246.81,4.689833,4.3
MA,2109908,Santa Inês,92.2,0.921973,230.37,242.17,4.542333,4.2
MA,2110005,Santa Luzia,95.4,0.954552,245.29,245.92,4.8535,4.6
MA,2110039,Santa Luzia do Paruá,94.5,0.945067,238.71,242.71,4.690333,4.4
MA,2110104,Santa Quitéria do Maranhão,97.2,0.972148,215.71,229.17,4.081333,4.0
MA,2110203,Santa Rita,96.6,0.964932,229.71,237.21,4.448667,4.3
MA,2110237,Santana do Maranhão,98.2,0.981881,256.83,256.03,5.214333,5.1
MA,2110278,Santo Amaro do Maranhão,85.8,0.856298,229.45,229.32,4.312833,3.7
MA,2110302,Santo Antônio dos Lopes,94.6,0.946203,245.08,254.69,4.996167,4.7
MA,2110401,São Benedito do Rio Preto,95.2,0.951862,213.28,215.25,3.808833,3.6
MA,2110500,São Bento,92.3,0.921499,229.4,236.66,4.434333,4.1
MA,2110609,São Bernardo,95.8,0.957535,222.18,226.16,4.139,4.0
MA,2110658,São Domingos do Azeitão,92.0,0.926766,255.42,248.07,5.058167,4.7
MA,2110708,São Domingos do Maranhão,93.5,0.93476,229.5,233.6,4.385,4.1
MA,2110807,São Félix de Balsas,85.4,0.861743,234.71,242.27,4.616333,4.0
MA,2110856,São Francisco do Brejão,89.0,0.888464,229.87,237.74,4.460167,4.0
MA,2110906,São Francisco do Maranhão,95.6,0.956205,253.95,253.15,5.118333,4.9
MA,2111003,São João Batista,85.7,0.856514,205.1,211.26,3.606,3.1
MA,2111029,São João do Carú,91.7,0.918467,230.97,227.76,4.312167,4.0
MA,2111052,São João do Paraíso,96.5,0.964438,233.97,235.46,4.4905,4.3
MA,2111078,São João do Soter,92.5,0.925196,226.51,229.22,4.262167,3.9
MA,2111102,São João dos Patos,92.2,0.922734,253.93,255.42,5.155833,4.8
MA,2111201,São José de Ribamar,97.1,0.971427,239.78,245.83,4.760167,4.6
MA,2111250,São José dos Basílios,84.6,0.850784,233.13,226.59,4.328667,3.7
MA,2111300,São Luís,94.7,0.947063,237.52,248.49,4.766833,4.5
MA,2111409,São Luís Gonzaga do Maranhão,86.7,0.86661,226.9,229.95,4.280833,3.7
MA,2111508,São Mateus do Maranhão,91.7,0.916904,227.69,231.44,4.318833,4.0
MA,2111532,São Pedro da Água Branca,91.5,0.914673,231.09,234.27,4.422667,4.0
MA,2111573,São Pedro dos Crentes,98.1,0.981602,237.49,235.62,4.551833,4.5
MA,2111607,São Raimundo das Mangabeiras,89.1,0.891338,247.27,245.25,4.875333,4.3
MA,2111631,São Raimundo do Doca Bezerra,82.5,0.829378,246.7,245.56,4.871,4.0
MA,2111672,São Roberto,81.2,0.820619,220.5,228.59,4.1515,3.4
MA,2111706,São Vicente Ferrer,92.3,0.922473,222.63,224.41,4.117333,3.8
MA,2111722,Satubinha,95.2,0.950091,257.17,252.0,5.152833,4.9
MA,2111748,Senador Alexandre Costa,93.3,0.933129,217.45,234.56,4.200167,3.9
MA,2111763,Senador La Rocque,83.0,0.829404,227.11,233.82,4.348833,3.6
MA,2111789,Serrano do Maranhão,95.0,0.950984,229.71,231.85,4.359333,4.1
MA,2111805,Sítio Novo,92.3,0.92263,231.62,226.72,4.305667,4.0
MA,2111904,Sucupira do Norte,91.7,0.919864,254.9,254.88,5.163,4.7
MA,2111953,Sucupira do Riachão,95.9,0.960321,240.57,234.39,4.582667,4.4
MA,2112001,Tasso Fragoso,91.7,0.91762,250.34,250.06,5.006667,4.6
MA,2112100,Timbiras,90.8,0.908616,222.16,229.9,4.201,3.8
MA,2112209,Timon,99.7,0.996749,278.0,276.03,5.9005,5.9
MA,2112233,Trizidela do Vale,97.8,0.977172,247.26,253.91,5.0195,4.9
